Round,Date,Class,Session,Driver,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,P,Aiden Harbaugh,1:12.495,1:27.040,,,,,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,Caleb Smith,1:05.080,1:04.281,1:03.386,1:03.479,1:02.975,1:03.486,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,Preston Fisher,1:07.812,,,,,,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,Cole Vetter,1:07.992,1:05.062,1:04.329,1:04.352,1:03.929,1:03.525,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,P,Kaden Harter,1:06.581,1:03.864,1:03.273,1:03.032,1:03.079,1:02.270,,,,,,,,
Round 2,2025-09-06,T4 Junior,P,Clay O'brien,1:07.984,1:06.612,1:06.766,1:06.565,,,,,,,,,,
Round 2,2025-09-06,T4 Junior,P,Wyatt Cataldo,1:09.032,1:09.359,1:08.577,1:07.960,,,,,,,,,,
Round 2,2025-09-06,T4 Junior,P,Ashlyn Taylor,1:10.699,1:09.145,1:09.102,1:08.112,,,,,,,,,,
Round 2,2025-09-06,T4 Junior,P,Anna Mccrone,1:09.217,1:09.125,1:10.055,1:07.540,,,,,,,,,,
Round 2,2025-09-06,T4 Junior,P,Derek Wargo,1:07.221,1:06.242,1:06.157,1:05.705,,,,,,,,,,
Round 2,2025-09-06,T4 Senior,P,Joe Bechtold,1:06.554,1:05.831,1:05.775,1:08.820,,,,,,,,,,
Round 2,2025-09-06,T4 Senior,P,Ian Quinn,1:06.761,1:07.000,1:06.916,1:07.040,1:06.625,,,,,,,,,
Round 2,2025-09-06,T4 Senior,P,Liam Engelmann,1:11.528,1:10.917,1:10.927,1:11.081,1:10.670,,,,,,,,,
Round 2,2025-09-06,T4 Senior,P,Lucas Mccrone,1:11.292,1:11.446,1:10.140,1:11.382,1:09.947,,,,,,,,,
Round 2,2025-09-06,Piston Kup/Bambino,P,Gunner Surace,1:46.490,1:42.380,1:41.125,,,,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Eric Baun,1:11.857,1:11.165,1:10.912,1:12.727,1:11.129,1:11.427,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Preston Fisher,1:12.530,1:11.223,1:10.602,1:11.997,1:11.368,1:11.571,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Wyatt Cataldo,1:11.737,1:11.478,1:11.173,1:11.261,1:10.842,1:11.044,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Carlos Myers,1:22.365,1:21.088,1:19.049,1:19.636,1:18.564,,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Clay O'brien,1:10.980,1:10.810,1:10.588,1:10.768,1:10.465,1:10.488,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,Q,Gabriel Payne,1:11.107,1:10.811,1:10.279,1:09.579,1:09.067,1:09.558,,,,,,,,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,Q,Dominic Borelli,1:34.224,1:34.449,1:28.384,1:30.062,,,,,,,,,,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,Q,Aiden Harbaugh,1:12.096,1:12.466,1:12.216,1:13.634,1:12.099,,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,Caleb Smith,1:04.089,1:03.214,1:02.625,1:03.099,1:02.694,1:02.597,,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,Gabriel Payne,1:02.090,1:02.115,1:02.133,1:02.098,1:01.906,1:01.652,1:01.902,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,Cole Vetter,1:03.072,1:03.182,1:03.203,1:03.078,1:02.935,1:02.494,1:02.929,,,,,,,
Round 2,2025-09-06,ROTAX Junior Max,Q,Kaden Harter,1:03.484,1:02.793,1:02.587,1:02.231,1:02.471,1:02.165,1:02.325,,,,,,,
Round 2,2025-09-06,T4 Junior,Q,Clay O'brien,1:07.115,1:07.063,1:07.093,1:06.808,1:07.312,1:06.857,,,,,,,,
Round 2,2025-09-06,T4 Junior,Q,Wyatt Cataldo,1:07.916,1:07.814,1:08.564,1:08.237,1:07.865,1:07.734,,,,,,,,
Round 2,2025-09-06,T4 Junior,Q,Ashlyn Taylor,1:08.949,1:08.794,1:08.442,1:08.429,1:09.390,1:08.084,,,,,,,,
Round 2,2025-09-06,T4 Junior,Q,Anna Mccrone,1:08.128,1:08.920,1:09.518,1:08.370,1:08.910,1:08.723,,,,,,,,
Round 2,2025-09-06,T4 Junior,Q,Derek Wargo,1:05.445,1:05.420,1:05.697,1:05.868,1:05.872,1:05.601,,,,,,,,
Round 2,2025-09-06,T4 Senior,Q,Alexandre Thebaud,1:08.205,1:07.674,1:07.954,1:08.265,1:07.636,1:07.597,,,,,,,,
Round 2,2025-09-06,T4 Senior,Q,Ian Quinn,1:06.510,1:06.626,1:06.855,1:06.867,1:06.952,1:06.919,,,,,,,,
Round 2,2025-09-06,T4 Senior,Q,Liam Engelmann,1:11.524,1:10.557,1:11.197,1:09.649,1:10.619,1:10.990,,,,,,,,
Round 2,2025-09-06,T4 Senior,Q,Lucas Mccrone,1:09.903,1:09.489,1:10.251,1:10.462,1:10.057,1:10.334,,,,,,,,
Round 2,2025-09-06,Piston Kup/Bambino,Q,Gunner Surace,1:40.010,1:47.494,2:03.309,,,,,,,,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Gabriel Payne,1:03.411,1:11.681,1:09.757,1:09.101,1:09.533,1:09.481,1:09.092,1:09.382,1:09.132,1:09.516,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Clay O'brien,1:03.493,1:12.815,1:10.553,1:10.277,1:10.326,1:10.426,1:10.081,1:10.356,1:12.096,1:10.375,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Preston Fisher,1:03.571,1:12.137,1:10.195,1:10.008,1:10.655,1:10.282,1:10.336,1:10.142,1:10.334,1:10.308,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Wyatt Cataldo,1:03.687,1:13.114,1:10.491,1:09.928,1:10.324,1:10.438,1:10.144,1:10.389,1:11.461,1:10.735,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Eric Baun,1:03.816,1:13.867,1:11.030,1:10.411,1:10.836,1:11.526,1:11.135,1:11.368,1:10.821,1:11.649,,,,
Round 2,2025-09-06,206 Junior/390/Senior,PF,Carlos Myers,1:04.043,1:21.042,1:17.726,1:18.474,1:17.839,1:18.280,1:17.548,1:17.536,1:17.602,,,,,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,PF,Aiden Harbaugh,1:15.252,1:11.623,1:11.855,1:12.588,1:12.216,1:12.358,1:14.356,1:12.301,1:11.912,1:12.032,,,,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,PF,Dominic Borelli,1:26.042,1:24.970,1:25.820,1:27.711,1:25.814,1:23.440,1:23.603,1:26.494,1:25.389,,,,,
Round 2,2025-09-06,ROTAX Junior Max,PF,Gabriel Payne,1:03.519,1:02.021,1:01.918,1:01.728,1:01.981,1:02.471,1:01.654,1:01.561,1:01.530,1:01.662,,,,
Round 2,2025-09-06,ROTAX Junior Max,PF,Cole Vetter,1:04.110,1:02.876,1:02.909,1:02.766,1:02.897,1:02.969,1:02.693,1:02.698,1:02.750,1:02.567,,,,
Round 2,2025-09-06,ROTAX Junior Max,PF,Caleb Smith,1:05.720,1:03.514,1:04.124,1:03.564,1:03.710,1:02.987,1:03.333,1:03.471,1:03.722,1:03.261,,,,
Round 2,2025-09-06,ROTAX Junior Max,PF,Preston Fisher,1:05.379,1:03.656,1:03.757,1:03.350,1:03.826,1:03.412,1:03.367,1:03.612,1:03.658,1:03.215,,,,
Round 2,2025-09-06,ROTAX Junior Max,PF,Kaden Harter,1:05.953,1:02.459,1:02.793,1:03.309,1:02.685,1:02.530,1:02.337,1:02.059,1:02.353,1:02.206,,,,
Round 2,2025-09-06,T4 Junior,PF,Derek Wargo,1:07.705,1:05.873,1:06.000,1:05.969,1:05.974,1:06.087,1:05.827,1:06.113,1:06.003,1:05.831,,,,
Round 2,2025-09-06,T4 Junior,PF,Clay O'brien,1:09.287,1:07.948,1:07.980,1:08.001,1:07.485,1:08.517,1:08.353,1:07.553,1:07.814,1:08.080,,,,
Round 2,2025-09-06,T4 Junior,PF,Wyatt Cataldo,1:10.551,1:08.356,,,,,,,,,,,,
Round 2,2025-09-06,T4 Junior,PF,Ashlyn Taylor,1:10.676,1:10.183,1:10.091,1:09.111,1:08.570,1:09.242,1:09.177,1:09.006,1:09.939,1:08.780,,,,
Round 2,2025-09-06,T4 Junior,PF,Anna Mccrone,1:10.717,1:09.329,1:09.153,1:09.112,1:08.803,1:09.294,1:09.633,1:09.294,1:09.514,1:09.033,,,,
Round 2,2025-09-06,T4 Senior,PF,Ian Quinn,1:08.597,1:07.292,1:07.300,1:07.320,1:07.610,1:07.109,1:07.274,1:07.442,1:07.339,1:07.896,,,,
Round 2,2025-09-06,T4 Senior,PF,Alexandre Thebaud,1:09.455,1:08.250,1:08.380,1:07.725,1:07.729,1:07.571,1:07.898,1:08.158,1:07.593,1:08.084,,,,
Round 2,2025-09-06,T4 Senior,PF,Lucas Mccrone,1:12.002,1:10.951,1:10.269,,,,,,,,,,,
Round 2,2025-09-06,T4 Senior,PF,Liam Engelmann,1:12.248,1:09.832,1:10.318,1:09.439,1:09.911,1:09.806,1:09.989,1:10.217,1:11.138,1:09.878,,,,
Round 2,2025-09-06,T4 Senior,PF,Joe Bechtold,1:09.263,1:07.308,1:06.656,1:07.208,1:06.740,1:06.128,1:06.464,1:06.764,1:06.537,1:06.587,,,,
Round 2,2025-09-06,206 Junior/390/Senior,F,Gabriel Payne,1:11.449,1:09.503,1:08.846,1:09.116,1:09.096,1:09.316,1:08.970,1:08.712,1:09.037,1:08.917,1:09.004,1:09.061,1:08.842,1:11.269
Round 2,2025-09-06,206 Junior/390/Senior,F,Preston Fisher,1:12.695,1:09.927,1:09.622,1:09.687,1:09.573,1:09.560,1:09.600,1:09.479,1:09.838,1:10.215,1:10.140,1:10.217,1:10.124,1:09.783
Round 2,2025-09-06,206 Junior/390/Senior,F,Wyatt Cataldo,1:12.679,1:09.873,1:09.632,1:09.961,1:10.156,1:10.075,1:10.210,1:09.847,1:10.454,1:10.110,1:10.288,1:10.307,1:10.291,1:09.988
Round 2,2025-09-06,206 Junior/390/Senior,F,Clay O'brien,1:11.605,1:09.492,1:08.850,1:08.890,1:09.078,1:09.190,1:08.967,1:08.708,1:09.045,1:08.916,1:09.006,1:09.060,1:08.896,1:11.048
Round 2,2025-09-06,206 Junior/390/Senior,F,Eric Baun,1:13.841,1:10.547,1:10.294,1:10.344,1:10.410,1:10.238,1:10.841,1:11.081,1:11.106,1:12.668,1:19.455,1:13.014,1:10.774,1:11.057
Round 2,2025-09-06,206 Junior/390/Senior,F,Carlos Myers,1:22.202,1:20.103,1:18.700,1:18.680,1:18.173,1:17.597,1:17.953,1:20.132,1:17.069,1:19.453,1:19.128,1:17.748,1:18.042,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,F,Aiden Harbaugh,1:16.807,1:11.832,1:12.204,1:11.748,1:13.109,1:12.191,1:16.629,1:12.330,1:12.653,1:12.685,1:12.442,1:13.068,,
Round 2,2025-09-06,206 Mini/Cadet / T4 Mini,F,Dominic Borelli,1:29.270,1:24.594,1:28.193,1:25.448,1:25.542,1:24.011,1:25.296,1:27.664,1:30.382,1:27.976,1:48.812,,,
Round 2,2025-09-06,Piston Kup/Bambino,F,Gunner Surace,1:44.346,1:42.733,1:44.206,1:42.974,2:05.459,,,,,,,,,
Round 3,2025-09-07,206 Junior/390/Senior,P,Preston Fisher,1:11.880,1:10.315,1:09.808,1:09.943,1:09.317,,,,,,,,,
Round 3,2025-09-07,206 Junior/390/Senior,P,Giovanni Blackerby,1:10.051,1:09.518,1:09.051,1:08.707,1:08.880,,,,,,,,,
Round 3,2025-09-07,206 Junior/390/Senior,P,Gabriel Payne,1:09.875,1:08.977,1:09.405,1:08.550,1:08.157,,,,,,,,,
Round 3,2025-09-07,206 Junior/390/Senior,P,Wyatt Cataldo,1:11.079,1:10.460,1:10.248,1:10.122,,,,,,,,,,
Round 3,2025-09-07,206 Junior/390/Senior,P,Clay O'brien,1:10.537,1:10.000,1:09.382,1:09.405,1:09.246,,,,,,,,,
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,P,Dominic Borelli,1:40.389,1:33.625,,,,,,,,,,,,
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,P,Lucas Schreiber,1:12.373,1:14.158,1:12.023,,,,,,,,,,,
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,P,Aiden Harbaugh,1:12.404,1:12.077,,,,,,,,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,P,Kaden Harter,1:04.966,1:02.339,1:02.011,1:02.140,,,,,,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,P,Caleb Smith,1:03.032,1:01.924,1:02.562,1:02.089,,,,,,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,P,Colin Schreiber,1:03.536,1:02.382,1:02.995,1:01.979,,,,,,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,P,Gabriel Payne,1:01.767,1:00.916,1:01.069,1:01.406,,,,,,,,,,
