Round,Date,Class,Session,Pos,Kart#,Driver,Class Code,Laps,Avg Speed,Gap,Best Lap,Best On Lap,Team
Round 3,2025-09-07,206 Junior/390/Senior,PF,3,44,Giovanni Blackerby,,10,33.72 MPH,4.702,1:08.495,6,M
Round 3,2025-09-07,206 Junior/390/Senior,PF,4,7,Preston Fisher,,10,33.46 MPH,10.964,1:09.001,7,PKC
Round 3,2025-09-07,206 Junior/390/Senior,PF,5,331,Wyatt Cataldo,,10,33.46 MPH,11.077,1:08.926,7,M
Round 3,2025-09-07,206 Junior/390/Senior,PF,1,3,Eric Baun,,10,33.09 MPH,-,1:10.199,7,M
Round 3,2025-09-07,206 Junior/390/Senior,PF,DNS,777,James Stropko iv,,0,,,,,
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,PF,1,880,Lucas Schreiber,206MIN,8,31.99 MPH,,1:11.190,4,M
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,PF,2,924,Aiden Harbaugh,206MIN,8,31.72 MPH,5.560,1:11.356,3,ASI
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,PF,3,25,Dominic Borelli,T4MIN,7,26.2 MPH,1 Lap,1:25.338,1,M
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,PF,DNS,529,Austin Harbaugh,206MIN,0,,,,,M
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,PF,1,880,Lucas Schreiber,,8,31.99 MPH,-,1:11.190,4,M
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,PF,2,924,Aiden Harbaugh,,8,31.72 MPH,5.560,1:11.356,3,ASI
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,PF,DNS,529,Austin Harbaugh,,0,,,,,M
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,PF,1,25,Dominic Borelli,,7,26.2 MPH,-,1:25.338,1,M
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,1,45,Gabriel Payne,JRMAX,10,33.84 MPH,,1:00.439,10,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,2,810,Cole Vetter,JRMAX,10,33.48 MPH,8.422,1:01.509,5,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,3,224,Preston Fisher,JRMAX,10,33.46 MPH,9.014,1:01.360,10,PKC
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,4,27,Colin Schreiber,JRMAX,10,33.36 MPH,11.290,1:01.538,5,M
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,5,005,Kaden Harter,KASR,10,33.04 MPH,19.081,1:01.732,10,M
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,DNS,11,Caleb Smith,JRMAX,0,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,DNS,53,Anna Mccrone,JRMAX,0,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,1,45,Gabriel Payne,,10,33.84 MPH,-,1:00.439,10,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,2,810,Cole Vetter,,10,33.48 MPH,8.422,1:01.509,5,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,3,224,Preston Fisher,,10,33.46 MPH,9.014,1:01.360,10,PKC
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,4,27,Colin Schreiber,,10,33.36 MPH,11.290,1:01.538,5,M
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,DNS,11,Caleb Smith,,0,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,DNS,53,Anna Mccrone,,0,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,PF,1,005,Kaden Harter,,10,33.04 MPH,-,1:01.732,10,M
Round 3,2025-09-07,T4 Junior,PF,1,0,Derek Wargo,,10,35.12 MPH,,1:05.016,5,
Round 3,2025-09-07,T4 Junior,PF,2,33,Wyatt Cataldo,,10,34.93 MPH,4.188,1:05.375,5,M
Round 3,2025-09-07,T4 Junior,PF,3,53,Anna Mccrone,,10,34.24 MPH,19.553,1:07.041,6,
Round 3,2025-09-07,T4 Junior,PF,4,80,Ashlyn Taylor,,10,34.17 MPH,21.162,1:07.187,4,M
Round 3,2025-09-07,T4 Senior,PF,1,79,Ian Quinn,,10,35.51 MPH,,1:05.566,5,M
Round 3,2025-09-07,T4 Senior,PF,2,68,Alexandre Thebaud,,10,35.14 MPH,8.028,1:06.187,3,Privateer
Round 3,2025-09-07,T4 Senior,PF,3,18,Joe Bechtold,,10,34.99 MPH,11.171,1:06.293,3,Privateer
Round 3,2025-09-07,T4 Senior,PF,4,899,Kaden Harter,,10,34.9 MPH,13.251,1:06.868,7,M
Round 3,2025-09-07,T4 Senior,PF,5,48,Liam Engelmann,,10,33.9 MPH,36.013,1:08.398,2,
Round 3,2025-09-07,206 Junior/390/Senior,F,1,45,Gabriel Payne,206JR,14,35.37 MPH,,1:08.299,12,
Round 3,2025-09-07,206 Junior/390/Senior,F,3,44,Giovanni Blackerby,206JR,14,35.25 MPH,3.552,1:08.260,10,M
Round 3,2025-09-07,206 Junior/390/Senior,F,4,7,Preston Fisher,206JR,14,35 MPH,11.218,1:08.886,5,PKC
Round 3,2025-09-07,206 Junior/390/Senior,F,5,331,Wyatt Cataldo,206JR,14,34.99 MPH,11.567,1:08.847,7,M
Round 3,2025-09-07,206 Junior/390/Senior,F,6,3,Eric Baun,206SR,14,34.59 MPH,23.928,1:09.629,10,M
Round 3,2025-09-07,206 Junior/390/Senior,F,DNS,777,James Stropko iv,206SR,0,,,,,
Round 3,2025-09-07,206 Junior/390/Senior,F,1,45,Gabriel Payne,,14,35.37 MPH,-,1:08.299,12,
Round 3,2025-09-07,206 Junior/390/Senior,F,3,44,Giovanni Blackerby,,14,35.25 MPH,3.552,1:08.260,10,M
Round 3,2025-09-07,206 Junior/390/Senior,F,4,7,Preston Fisher,,14,35 MPH,11.218,1:08.886,5,PKC
Round 3,2025-09-07,206 Junior/390/Senior,F,5,331,Wyatt Cataldo,,14,34.99 MPH,11.567,1:08.847,7,M
Round 3,2025-09-07,206 Junior/390/Senior,F,1,3,Eric Baun,,14,34.59 MPH,-,1:09.629,10,M
Round 3,2025-09-07,206 Junior/390/Senior,F,DNS,777,James Stropko iv,,0,,,,,
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,F,1,880,Lucas Schreiber,206MIN,12,33.73 MPH,,1:11.166,2,M
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,F,2,924,Aiden Harbaugh,206MIN,12,33.12 MPH,17.422,1:11.382,2,ASI
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,F,3,25,Dominic Borelli,T4MIN,11,28.55 MPH,1 Lap,1:23.295,4,M
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,F,DNS,529,Austin Harbaugh,206MIN,0,,,,,M
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,F,1,880,Lucas Schreiber,,12,33.73 MPH,-,1:11.166,2,M
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,F,2,924,Aiden Harbaugh,,12,33.12 MPH,17.422,1:11.382,2,ASI
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,F,DNS,529,Austin Harbaugh,,0,,,,,M
Round 3,2025-09-07,206 Mini/Cadet / T4 Mini,F,1,25,Dominic Borelli,,11,28.55 MPH,-,1:23.295,4,M
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,1,810,Cole Vetter,JRMAX,14,39.05 MPH,,1:01.616,12,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,2,224,Preston Fisher,JRMAX,14,38.95 MPH,2.415,1:01.822,7,PKC
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,3,27,Colin Schreiber,JRMAX,14,38.95 MPH,2.515,1:01.466,6,M
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,4,45,Gabriel Payne,JRMAX,9,37.53 MPH,5 Laps,1:00.632,6,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,5,005,Kaden Harter,KASR,7,35.26 MPH,7 Laps,1:01.832,6,M
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,DNS,11,Caleb Smith,JRMAX,0,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,DNS,53,Anna Mccrone,JRMAX,0,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,1,810,Cole Vetter,,14,39.05 MPH,-,1:01.616,12,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,2,224,Preston Fisher,,14,38.95 MPH,2.415,1:01.822,7,PKC
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,3,27,Colin Schreiber,,14,38.95 MPH,2.515,1:01.466,6,M
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,4,45,Gabriel Payne,,9,37.53 MPH,5 Laps,1:00.632,6,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,DNS,11,Caleb Smith,,0,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,DNS,53,Anna Mccrone,,0,,,,,
Round 3,2025-09-07,ROTAX Junior Max / IAME KA Senior,F,1,005,Kaden Harter,,7,35.26 MPH,-,1:01.832,6,M
Round 3,2025-09-07,T4 Junior,F,1,0,Derek Wargo,,14,37.31 MPH,,1:04.944,4,
Round 3,2025-09-07,T4 Junior,F,2,33,Wyatt Cataldo,,14,36.09 MPH,34.043,1:05.669,3,M
Round 3,2025-09-07,T4 Junior,F,4,80,Ashlyn Taylor,,14,35.84 MPH,41.236,1:07.788,5,M
Round 3,2025-09-07,T4 Junior,F,5,53,Anna Mccrone,,14,35.48 MPH,51.908,1:07.843,10,
Round 3,2025-09-07,T4 Senior,F,1,79,Ian Quinn,,14,36.82 MPH,,1:05.914,7,M
Round 3,2025-09-07,T4 Senior,F,2,18,Joe Bechtold,,14,36.79 MPH,0.914,1:05.920,8,Privateer
Round 3,2025-09-07,T4 Senior,F,3,68,Alexandre Thebaud,,14,36.52 MPH,8.351,1:06.468,10,Privateer
Round 3,2025-09-07,T4 Senior,F,4,899,Kaden Harter,,14,36.31 MPH,14.195,1:06.932,4,M
Round 3,2025-09-07,T4 Senior,F,5,48,Liam Engelmann,,14,35.05 MPH,51.579,1:08.657,10,
Round 3,2025-09-07,Piston Kup/Bambino,F,1,82,Grayson Miller,,6,21.94 MPH,,1:26.874,1,M
Round 3,2025-09-07,Piston Kup/Bambino,F,2,6,Gunner Surace,,2,13.61 MPH,4 Laps,1:42.049,1,M
Round 4,2025-10-11,206 Mini/Cadet,Q,1,O,Joseph Panico,,3,37.82 MPH,,1:10.663,2,Privateer
Round 4,2025-10-11,206 Mini/Cadet,Q,2,924,Aiden Harbaugh,,3,37.62 MPH,0.539,1:11.202,1,M
Round 4,2025-10-11,206 Mini/Cadet,Q,3,80,Ashlyn Taylor,,3,36.76 MPH,1.847,1:12.510,2,M
Round 4,2025-10-11,206 Mini/Cadet,Q,4,82,Grayson Miller,,3,33.4 MPH,6.978,1:17.641,2,M
Round 4,2025-10-11,206 Mini/Cadet,Q,5,203,Weston Davis,,1,34.34 MPH,7.517,1:18.180,1,Privateer
Round 4,2025-10-11,206 Mini/Cadet,Q,DNS,88,Lucas Schreiber,,0,,,,,M
Round 4,2025-10-11,T4 Junior,Q,1,80,Ashlyn Taylor,,3,38.1 MPH,,1:08.586,3,M
Round 4,2025-10-11,T4 Junior,Q,2,53,Anna Mccrone,,3,39.03 MPH,0.140,1:08.726,3,
Round 4,2025-10-11,T4 Junior,Q,3,899,Lucas Mccrone,,3,38.61 MPH,0.702,1:09.288,1,
Round 4,2025-10-11,206 Sr/Master,Q,1,9,Nicholas Jadue,206SR,1,38.21 MPH,,1:10.253,1,Privateer
Round 4,2025-10-11,206 Sr/Master,Q,2,3,Eric Baun,206-390,1,37.81 MPH,0.742,1:10.995,1,Privateer
Round 4,2025-10-11,206 Sr/Master,Q,3,16,Kyle Davis,206-390,1,37.38 MPH,1.572,1:11.825,1,Privateer
Round 4,2025-10-11,206 Sr/Master,Q,4,421,Calvi Teste,206SR,1,36.76 MPH,2.780,1:13.033,1,
Round 4,2025-10-11,206 Sr/Master,Q,5,314,Chad Karnik,206-390,2,34 MPH,5.811,1:16.064,1,Privateer
Round 4,2025-10-11,206 Sr/Master,Q,DNS,28,Ryan English,206-390,0,,,,,M
Round 4,2025-10-11,206 Sr/Master,Q,DNS,339,Cj Karnik,206-390,0,,,,,Privateer
Round 4,2025-10-11,206 Sr/Master,Q,1,9,Nicholas Jadue,,1,38.21 MPH,-,1:10.253,1,Privateer
Round 4,2025-10-11,206 Sr/Master,Q,2,421,Calvi Teste,,1,36.76 MPH,2.780,1:13.033,1,
Round 4,2025-10-11,206 Sr/Master,Q,1,3,Eric Baun,,1,37.81 MPH,-,1:10.995,1,Privateer
Round 4,2025-10-11,206 Sr/Master,Q,2,16,Kyle Davis,,1,37.38 MPH,0.830,1:11.825,1,Privateer
Round 4,2025-10-11,206 Sr/Master,Q,3,314,Chad Karnik,,2,34 MPH,5.069,1:16.064,1,Privateer
Round 4,2025-10-11,206 Sr/Master,Q,DNS,28,Ryan English,,0,,,,,M
Round 4,2025-10-11,206 Sr/Master,Q,DNS,339,Cj Karnik,,0,,,,,Privateer
Round 4,2025-10-11,2-Stroke,Q,1,939,Blade Fountain,KASR,3,43.03 MPH,,1:02.036,1,KartKru
Round 4,2025-10-11,2-Stroke,Q,2,005,Kaden Harter,KASR,3,42.75 MPH,0.537,1:02.573,2,M
Round 4,2025-10-11,2-Stroke,Q,3,44,Giovanni Blackerby,JRMAX,3,41.34 MPH,1.361,1:03.397,2,M
Round 4,2025-10-11,2-Stroke,Q,4,8,Scott Smith,KA-385,2,41.39 MPH,2.730,1:04.766,2,Smallwood Motorsports / Scott Smith Racing
Round 4,2025-10-11,2-Stroke,Q,5,24,Keith Bowerman,TaG/X30,3,40.52 MPH,3.897,1:05.933,2,M
Round 4,2025-10-11,2-Stroke,Q,6,237,Chris Stephens,KA-385,3,40.03 MPH,4.272,1:06.308,3,Smallwood Motorsports
Round 4,2025-10-11,2-Stroke,Q,1,939,Blade Fountain,,3,43.03 MPH,-,1:02.036,1,KartKru
Round 4,2025-10-11,2-Stroke,Q,2,005,Kaden Harter,,3,42.75 MPH,0.537,1:02.573,2,M
Round 4,2025-10-11,2-Stroke,Q,1,44,Giovanni Blackerby,,3,41.34 MPH,-,1:03.397,2,M
Round 4,2025-10-11,2-Stroke,Q,1,8,Scott Smith,,2,41.39 MPH,-,1:04.766,2,Smallwood Motorsports / Scott Smith Racing
Round 4,2025-10-11,2-Stroke,Q,2,237,Chris Stephens,,3,40.03 MPH,1.542,1:06.308,3,Smallwood Motorsports
Round 4,2025-10-11,2-Stroke,Q,1,24,Keith Bowerman,,3,40.52 MPH,-,1:05.933,2,M
Round 4,2025-10-11,Piston Cup/Bambino,H1,1,6,Gunner Surace,,6,25.26 MPH,,1:39.838,2,M
Round 4,2025-10-11,Piston Cup/Bambino,H1,DNS,82,Grayson Miller,,0,,,,,M
Round 4,2025-10-11,206 Mini/Cadet,H1,1,O,Joseph Panico,,8,32.91 MPH,,1:11.726,5,Privateer
Round 4,2025-10-11,206 Mini/Cadet,H1,2,924,Aiden Harbaugh,,8,32.88 MPH,0.585,1:11.458,7,M
Round 4,2025-10-11,206 Mini/Cadet,H1,3,80,Ashlyn Taylor,,8,32.58 MPH,6.618,1:12.681,4,M
Round 4,2025-10-11,206 Mini/Cadet,H1,4,88,Lucas Schreiber,,8,32.14 MPH,15.639,1:12.522,5,M
Round 4,2025-10-11,206 Mini/Cadet,H1,5,82,Grayson Miller,,8,30.5 MPH,51.700,1:16.572,8,M
Round 4,2025-10-11,206 Mini/Cadet,H1,6,203,Weston Davis,,7,28.52 MPH,1 Lap,1:17.946,2,Privateer
Round 4,2025-10-11,T4 Junior,H1,1,80,Ashlyn Taylor,,10,37.16 MPH,,1:08.436,3,M
Round 4,2025-10-11,T4 Junior,H1,2,899,Lucas Mccrone,,10,36.8 MPH,7.070,1:08.891,10,
Round 4,2025-10-11,T4 Junior,H1,DNS,53,Anna Mccrone,,0,,,,,
Round 4,2025-10-11,206 Senior/Master,H1,1,9,Nicholas Jadue,206SR,9,34.84 MPH,,1:09.987,3,Privateer
Round 4,2025-10-11,206 Senior/Master,H1,2,421,Calvi Teste,206SR,9,34.37 MPH,9.426,1:10.645,4,
Round 4,2025-10-11,206 Senior/Master,H1,3,3,Eric Baun,206-390,9,34.35 MPH,9.958,1:11.032,2,Privateer
Round 4,2025-10-11,206 Senior/Master,H1,4,16,Kyle Davis,206-390,9,33.97 MPH,17.763,1:11.526,4,Privateer
Round 4,2025-10-11,206 Senior/Master,H1,5,314,Chad Karnik,206-390,8,31.97 MPH,1 Lap,1:15.243,3,Privateer
Round 4,2025-10-11,206 Senior/Master,H1,6,339,Cj Karnik,206-390,1,18.27 MPH,8 Laps,1:20.418,1,Privateer
Round 4,2025-10-11,206 Senior/Master,H1,DNS,28,Ryan English,206-390,0,,,,,M
Round 4,2025-10-11,206 Senior/Master,H1,1,9,Nicholas Jadue,,9,34.84 MPH,-,1:09.987,3,Privateer
Round 4,2025-10-11,206 Senior/Master,H1,2,421,Calvi Teste,,9,34.37 MPH,9.426,1:10.645,4,
Round 4,2025-10-11,206 Senior/Master,H1,1,3,Eric Baun,,9,34.35 MPH,-,1:11.032,2,Privateer
Round 4,2025-10-11,206 Senior/Master,H1,2,16,Kyle Davis,,9,33.97 MPH,7.805,1:11.526,4,Privateer
Round 4,2025-10-11,206 Senior/Master,H1,3,314,Chad Karnik,,8,31.97 MPH,1 Lap,1:15.243,3,Privateer
Round 4,2025-10-11,206 Senior/Master,H1,4,339,Cj Karnik,,1,18.27 MPH,8 Laps,1:20.418,1,Privateer
Round 4,2025-10-11,206 Senior/Master,H1,DNS,28,Ryan English,,0,,,,,M
Round 4,2025-10-11,2-Stroke,H1,1,939,Blade Fountain,KASR,9,40.26 MPH,,1:01.982,4,KartKru
Round 4,2025-10-11,2-Stroke,H1,2,005,Kaden Harter,KASR,9,39.75 MPH,7.643,1:02.858,1,M
Round 4,2025-10-11,2-Stroke,H1,3,8,Scott Smith,KA-385,9,38.53 MPH,26.919,1:04.156,3,Smallwood Motorsports / Scott Smith Racing
Round 4,2025-10-11,2-Stroke,H1,4,24,Keith Bowerman,TaG/X30,9,38.53 MPH,26.959,1:03.893,4,M
Round 4,2025-10-11,2-Stroke,H1,5,237,Chris Stephens,KA-385,9,37.22 MPH,49.108,1:06.574,8,Smallwood Motorsports
Round 4,2025-10-11,2-Stroke,H1,6,44,Giovanni Blackerby,JRMAX,6,37.85 MPH,3 Laps,1:02.996,3,M
Round 4,2025-10-11,2-Stroke,H1,1,939,Blade Fountain,,9,40.26 MPH,-,1:01.982,4,KartKru
Round 4,2025-10-11,2-Stroke,H1,2,005,Kaden Harter,,9,39.75 MPH,7.643,1:02.858,1,M
Round 4,2025-10-11,2-Stroke,H1,1,8,Scott Smith,,9,38.53 MPH,-,1:04.156,3,Smallwood Motorsports / Scott Smith Racing
Round 4,2025-10-11,2-Stroke,H1,2,237,Chris Stephens,,9,37.22 MPH,22.189,1:06.574,8,Smallwood Motorsports
Round 4,2025-10-11,2-Stroke,H1,1,24,Keith Bowerman,,9,38.53 MPH,-,1:03.893,4,M
Round 4,2025-10-11,2-Stroke,H1,1,44,Giovanni Blackerby,,6,37.85 MPH,-,1:02.996,3,M
Round 4,2025-10-11,206 Mini/Cadet,H2,1,O,Joseph Panico,,6,32.77 MPH,,1:11.519,2,Privateer
Round 4,2025-10-11,206 Mini/Cadet,H2,2,88,Lucas Schreiber,,6,32.68 MPH,1.445,1:12.266,4,M
Round 4,2025-10-11,206 Mini/Cadet,H2,3,924,Aiden Harbaugh,,6,32.65 MPH,1.893,1:11.172,5,M
Round 4,2025-10-11,206 Mini/Cadet,H2,4,80,Ashlyn Taylor,,6,32.46 MPH,4.755,1:12.366,3,M
Round 4,2025-10-11,206 Mini/Cadet,H2,5,203,Weston Davis,,6,30.34 MPH,39.365,1:16.167,1,Privateer
Round 4,2025-10-11,206 Mini/Cadet,H2,6,82,Grayson Miller,,6,30.32 MPH,39.748,1:15.801,1,M
Round 4,2025-10-11,T4 Junior,H2,1,899,Lucas Mccrone,,10,35.16 MPH,,1:08.945,5,
Round 4,2025-10-11,T4 Junior,H2,2,80,Ashlyn Taylor,,1,18.86 MPH,9 Laps,1:15.069,1,M
Round 4,2025-10-11,T4 Junior,H2,DNS,53,Anna Mccrone,,0,,,,,
Round 4,2025-10-11,206 Senior/Master,H2,1,9,Nicholas Jadue,206SR,10,31.93 MPH,,1:10.009,10,Privateer
Round 4,2025-10-11,206 Senior/Master,H2,2,3,Eric Baun,206-390,10,31.03 MPH,24.362,1:11.125,4,Privateer
Round 4,2025-10-11,206 Senior/Master,H2,3,16,Kyle Davis,206-390,10,30.63 MPH,35.726,1:12.226,5,Privateer
Round 4,2025-10-11,206 Senior/Master,H2,4,421,Calvi Teste,206SR,5,27.26 MPH,5 Laps,1:11.131,3,
Round 4,2025-10-11,206 Senior/Master,H2,5,314,Chad Karnik,206-390,2,18.89 MPH,8 Laps,1:15.023,2,Privateer
Round 4,2025-10-11,206 Senior/Master,H2,6,339,Cj Karnik,206-390,2,18.74 MPH,8 Laps,1:16.773,2,Privateer
Round 4,2025-10-11,206 Senior/Master,H2,DNS,28,Ryan English,206-390,0,,,,,M
Round 4,2025-10-11,206 Senior/Master,H2,1,9,Nicholas Jadue,,10,31.93 MPH,-,1:10.009,10,Privateer
Round 4,2025-10-11,206 Senior/Master,H2,2,421,Calvi Teste,,5,27.26 MPH,5 Laps,1:11.131,3,
Round 4,2025-10-11,206 Senior/Master,H2,1,3,Eric Baun,,10,31.03 MPH,-,1:11.125,4,Privateer
Round 4,2025-10-11,206 Senior/Master,H2,2,16,Kyle Davis,,10,30.63 MPH,11.364,1:12.226,5,Privateer
Round 4,2025-10-11,206 Senior/Master,H2,3,314,Chad Karnik,,2,18.89 MPH,8 Laps,1:15.023,2,Privateer
Round 4,2025-10-11,206 Senior/Master,H2,4,339,Cj Karnik,,2,18.74 MPH,8 Laps,1:16.773,2,Privateer
Round 4,2025-10-11,206 Senior/Master,H2,DNS,28,Ryan English,,0,,,,,M
Round 4,2025-10-11,2-Stroke,H2,1,939,Blade Fountain,KASR,10,37.99 MPH,,1:01.628,7,KartKru
Round 4,2025-10-11,2-Stroke,H2,2,24,Keith Bowerman,TaG/X30,10,37.02 MPH,18.420,1:03.723,2,M
Round 4,2025-10-11,2-Stroke,H2,3,44,Giovanni Blackerby,JRMAX,10,36.98 MPH,19.136,1:03.257,10,M
Round 4,2025-10-11,2-Stroke,H2,4,8,Scott Smith,KA-385,10,36.47 MPH,29.295,1:04.212,3,Smallwood Motorsports / Scott Smith Racing
Round 4,2025-10-11,2-Stroke,H2,5,237,Chris Stephens,KA-385,10,36.26 MPH,33.568,1:05.445,7,Smallwood Motorsports
Round 4,2025-10-11,2-Stroke,H2,DNS,005,Kaden Harter,KASR,0,,,,,M
Round 4,2025-10-11,2-Stroke,H2,DNS,339,Cj Karnik,206-390,0,,,,,Privateer
Round 4,2025-10-11,2-Stroke,H2,1,939,Blade Fountain,,10,37.99 MPH,-,1:01.628,7,KartKru
Round 4,2025-10-11,2-Stroke,H2,DNS,005,Kaden Harter,,0,,,,,M
Round 4,2025-10-11,2-Stroke,H2,1,24,Keith Bowerman,,10,37.02 MPH,-,1:03.723,2,M
Round 4,2025-10-11,2-Stroke,H2,1,44,Giovanni Blackerby,,10,36.98 MPH,-,1:03.257,10,M
Round 4,2025-10-11,2-Stroke,H2,1,8,Scott Smith,,10,36.47 MPH,-,1:04.212,3,Smallwood Motorsports / Scott Smith Racing
Round 4,2025-10-11,2-Stroke,H2,2,237,Chris Stephens,,10,36.26 MPH,4.273,1:05.445,7,Smallwood Motorsports
Round 4,2025-10-11,2-Stroke,H2,DNS,339,Cj Karnik,,0,,,,,Privateer
Round 4,2025-10-11,206 Mini/Cadet,F,1,O,Joseph Panico,206MIN,10,34.62 MPH,,1:10.993,8,Privateer
Round 4,2025-10-11,206 Mini/Cadet,F,2,88,Lucas Schreiber,206MIN,10,34.26 MPH,8.173,1:11.974,10,M
Round 4,2025-10-11,206 Mini/Cadet,F,3,924,Aiden Harbaugh,206MIN,10,34.12 MPH,11.240,1:10.908,10,M
Round 4,2025-10-11,206 Mini/Cadet,F,4,80,Ashlyn Taylor,206MIN,10,34.03 MPH,13.305,1:12.180,2,M
Round 4,2025-10-11,206 Mini/Cadet,F,5,203,Weston Davis,206MIN,10,31.62 MPH,1:13.549,1:13.549,,Privateer
Round 4,2025-10-11,206 Mini/Cadet,F,6,82,Grayson Miller,206MIN,10,31.61 MPH,1:13.829,1:13.829,,M
Round 4,2025-10-11,206 Mini/Cadet,F,1,O,Joseph Panico,,10,34.62 MPH,-,1:10.993,8,Privateer
Round 4,2025-10-11,206 Mini/Cadet,F,2,88,Lucas Schreiber,,10,34.26 MPH,8.173,1:11.974,10,M
Round 4,2025-10-11,206 Mini/Cadet,F,3,924,Aiden Harbaugh,,10,34.12 MPH,11.240,1:10.908,10,M
Round 4,2025-10-11,206 Mini/Cadet,F,4,80,Ashlyn Taylor,,10,34.03 MPH,13.305,1:12.180,2,M
Round 4,2025-10-11,206 Mini/Cadet,F,5,203,Weston Davis,,10,31.62 MPH,1:13.549,1:13.549,,Privateer
Round 4,2025-10-11,206 Mini/Cadet,F,6,82,Grayson Miller,,10,31.61 MPH,1:13.829,1:13.829,,M
Round 4,2025-10-11,T4 Junior,F,1,80,Ashlyn Taylor,,12,36.25 MPH,,1:08.429,6,M
Round 4,2025-10-11,T4 Junior,F,2,899,Lucas Mccrone,,12,36.04 MPH,5.147,1:08.580,4,
Round 4,2025-10-11,T4 Junior,F,DNS,53,Anna Mccrone,,0,,,,,
Round 4,2025-10-11,206 Senior/Masters,F,1,3,Eric Baun,206-390,12,31.4 MPH,,1:10.655,11,Privateer
Round 4,2025-10-11,206 Senior/Masters,F,2,16,Kyle Davis,206-390,12,31.39 MPH,0.327,1:10.553,11,Privateer
Round 4,2025-10-11,206 Senior/Masters,F,3,28,Ryan English,206-390,12,30.72 MPH,22.810,1:11.835,5,M
Round 4,2025-10-11,206 Senior/Masters,F,4,339,Cj Karnik,206-390,10,28.82 MPH,2 Laps,1:15.263,4,Privateer
Round 4,2025-10-11,206 Senior/Masters,F,5,9,Nicholas Jadue,206SR,7,28.42 MPH,5 Laps,1:10.211,6,Privateer
Round 4,2025-10-11,206 Senior/Masters,F,DNS,421,Calvi Teste,206SR,0,,,,,
Round 4,2025-10-11,206 Senior/Masters,F,DNS,314,Chad Karnik,206-390,0,,,,,Privateer
Round 4,2025-10-11,206 Senior/Masters,F,1,3,Eric Baun,,12,31.4 MPH,-,1:10.655,11,Privateer
Round 4,2025-10-11,206 Senior/Masters,F,2,16,Kyle Davis,,12,31.39 MPH,0.327,1:10.553,11,Privateer
Round 4,2025-10-11,206 Senior/Masters,F,3,28,Ryan English,,12,30.72 MPH,22.810,1:11.835,5,M
Round 4,2025-10-11,206 Senior/Masters,F,4,339,Cj Karnik,,10,28.82 MPH,2 Laps,1:15.263,4,Privateer
Round 4,2025-10-11,206 Senior/Masters,F,DNS,314,Chad Karnik,,0,,,,,Privateer
Round 4,2025-10-11,206 Senior/Masters,F,1,9,Nicholas Jadue,,7,28.42 MPH,-,1:10.211,6,Privateer
Round 4,2025-10-11,206 Senior/Masters,F,DNS,421,Calvi Teste,,0,,,,,
